,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Dragon,Rainer,10/29/2021,Y14MS,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,
Dragon,Rainer,10/30/2021,DV1MS,Ref: 2,,,,Ref: 3,,Ref: 2,Ref: 1,Assist: 2,Assist: 1,,,
Dragon,Rainer,10/30/2021,Y14WS,Ref: 2,,,,Ref: 1,,Ref: 3,Ref: 1,Ref: 1,Ref: 1,,,
Dragon,Rainer,10/31/2021,U17MS,Ref: 2,,,Ref: 1,Ref: 4,,Ref: 2,Ref: 1,Ref: 1  Assist: 1,Assist: 1,,,
Dragon,Rainer,11/1/2021,U17WS,Ref: 2,,,,Ref: 3,,Ref: 3,Ref: 2,Ref: 1,Assist: 1,,,
Dragon,Rainer,11/1/2021,Y14WE,,,,,Ref: 1,,,,,,,,
Dragon,Rainer,12/9/2021,U17WE,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Dragon,Rainer,12/10/2021,U17MS,Ref: 1,,,Ref: 1,Ref: 4,,Ref: 2,Ref: 1,Ref: 1  Assist: 1,Assist: 1,Ref: 1,,Assist: 1
Dragon,Rainer,12/10/2021,U20WS,Ref: 2,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1  Assist: 1,Assist: 1,Ref: 1,,
Dragon,Rainer,12/11/2021,U20MS,Ref: 2,,,Ref: 3,Ref: 4,,Ref: 2,,Assist: 1,Ref: 1,Assist: 1,,
Dragon,Rainer,12/12/2021,DV1MS,Ref: 2,,,,Ref: 2,,Ref: 2,Ref: 1,,,,,
Dragon,Rainer,12/12/2021,U17WS,Ref: 2,,,,Ref: 1,,Ref: 2,Ref: 1,Video: 2,Ref: 1,Ref: 1,,
Dragon,Rainer,1/7/2022,DV1MS,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,Assist: 1,,,
Dragon,Rainer,1/8/2022,U20ME,Ref: 1,,,Ref: 1,,,Ref: 1,Ref: 1,Video: 1,,,,
Dragon,Rainer,1/9/2022,DV1ME,Ref: 1,Ref: 1,,,Ref: 3,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,
Dragon,Rainer,1/10/2022,U20WE,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1  Assist: 1,,,,
Dragon,Rainer,1/10/2022,V50ME,,,,,,,Ref: 1,Ref: 2,Ref: 1,Video: 1  Assist: 1,Assist: 1,,Ref: 1
Dragon,Rainer,2/18/2022,U20MS,Ref: 2,,,Ref: 3,Ref: 4,,Ref: 2,,Ref: 1  Assist: 1,Assist: 1,,,Assist: 1
Dragon,Rainer,2/19/2022,JTMMS,,,,,,,,,Ref: 1,Ref: 1,,,
Dragon,Rainer,2/19/2022,U20WS,Ref: 2,,,Ref: 1,Ref: 4,,Ref: 2,Ref: 1,Ref: 1  Assist: 1,Assist: 1,,,
Dragon,Rainer,2/20/2022,JTMWS,,,,,,,,,,Ref: 1,Ref: 1,,Ref: 1
Dragon,Rainer,2/20/2022,U17MS,Ref: 2,,,Ref: 3,Ref: 4,,Ref: 2,,Ref: 1  Assist: 1,Assist: 1,Ref: 1,,Assist: 1
Dragon,Rainer,2/21/2022,U17WS,Ref: 2,,,,Ref: 5,,Ref: 1,Ref: 1,Ref: 1  Assist: 1,Ref: 1,Ref: 1,,Ref: 1
Dragon,Rainer,4/21/2022,DV1MS,Ref: 2,,,,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,,,,
Dragon,Rainer,4/21/2022,U19WS,Ref: 2,,,,Ref: 6,,Ref: 1,Ref: 1,Ref: 1,Video: 1,,,
Dragon,Rainer,4/22/2022,DV1WS,Ref: 1,,,,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,Ref: 1
Dragon,Rainer,4/22/2022,U16MS,Ref: 2,,,,Ref: 3,,Ref: 2,Ref: 1,Ref: 1,,,,Ref: 1
Dragon,Rainer,4/23/2022,U16WS,,,,,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,,,,
Dragon,Rainer,4/23/2022,U19MS,Ref: 2,,,Ref: 2,Ref: 2,,,,Ref: 1,,Ref: 1,,
Dragon,Rainer,4/24/2022,DV2WS,Ref: 2,,,,Ref: 3,,Ref: 5,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,
Dragon,Rainer,4/24/2022,U19WE,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,,,Ref: 1,,
Dragon,Rainer,7/2/2022,U19MS,Ref: 2,,,Ref: 6,Ref: 4,,Ref: 2, ,Ref: 1, , , , 
Dragon,Rainer,7/3/2022,U19WS,Ref: 2,,,Ref: 1,Ref: 4,,Ref: 1, , , , , , 
Dragon,Rainer,7/4/2022,DV1MS,Ref: 2,,, ,Ref: 2,,Ref: 1, ,Ref: 1, , , , 
Dragon,Rainer,7/4/2022,U19ME,Ref: 1,,,Ref: 2,Ref: 1,, , , , , , , 
Dragon,Rainer,7/5/2022,U16WE,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 2,Ref: 1, ,Ref: 1, , ,Ref: 1
Dragon,Rainer,7/6/2022,STMMS, ,,, , ,, ,Ref: 1,Ref: 1,Ref: 1, , , 
Dragon,Rainer,7/6/2022,U16ME,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1, , , , , 
Dragon,Rainer,7/6/2022,U16WS, ,,, ,Ref: 7,,Ref: 1,Ref: 1,Ref: 1  Video: 1,Video: 1,Ref: 1, , 
Dragon,Rainer,7/8/2022,VTMWS, ,,, , ,, , ,Ref: 1,Ref: 1,Ref: 1, ,Ref: 1
Dragon,Rainer,7/9/2022,DV2WF,Ref: 1,,, ,Ref: 1,,Ref: 1,Ref: 1, , ,Ref: 1, , 
Dragon,Rainer,7/9/2022,Y14WS,Ref: 2,,, ,Ref: 4,,Ref: 2,Ref: 1, ,Video: 1, , , 
Dragon,Rainer,7/10/2022,DV2MF,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,Ref: 1, ,Ref: 1,Ref: 1, , 
Dragon,Rainer,7/10/2022,DV3WS,Ref: 2,,, ,Ref: 2,,Ref: 2,Ref: 2,Ref: 1, , , , 
Dragon,Rainer,7/11/2022,Y12WS,Ref: 2,,, ,Ref: 2,,Ref: 4,Ref: 2,Ref: 1,Ref: 1, , , 
Drew,Nicolas,7/9/2022,DV3ME,Ref: 1,,, ,Ref: 2,,Ref: 1, , , , , , 
Drew,Nicolas,7/9/2022,Y12WE,Ref: 1,,, ,Ref: 1,, , , , , , , 
Drew,Nicolas,7/10/2022,Y10WE,Ref: 1,,, ,Ref: 1,, , , , , , , 
Drew,Nicolas,7/10/2022,Y12ME,Ref: 1,,, ,Ref: 2,,Ref: 1,Ref: 1, , , , , 
Drew,Nicolas,7/11/2022,Y10ME,Ref: 1,,, ,Ref: 3,,Ref: 2,Ref: 2, , ,Ref: 1, , 
Dudey,Michael,12/10/2021,U17MF,Ref: 1,,,,Ref: 2,,Ref: 2,,,,,,
Dudey,Michael,12/10/2021,U20ME,Ref: 1,,,Ref: 2,Ref: 1,,,,,,,,
Dudey,Michael,12/11/2021,U20MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,,,,,,
Dudey,Michael,12/11/2021,U20WF,Ref: 1,,,Ref: 1,Ref: 2,,,,,,,,
Dudey,Michael,12/12/2021,DV1WF,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Assist: 1,,,,
Dudey,Michael,1/8/2022,U20ME,Ref: 1,,,Ref: 2,,,Ref: 1,,Assist: 1,,,,
Dudey,Michael,1/8/2022,U20MF,Ref: 1,,,Ref: 1,,,,,,,,,
Dudey,Michael,1/9/2022,U20WF,Ref: 1,,,,,,,,,,,,
Dudey,Michael,1/9/2022,V50MF,Ref: 1,,,,,,,Ref: 2,Ref: 2,Ref: 1  Video: 1,Ref: 1,,
Dudey,Michael,1/10/2022,DV1WF,Ref: 1,,,,Ref: 2,,Ref: 2,,,,,,
Dudey,Michael,1/10/2022,V40ME,Ref: 1,,,,,,,Ref: 2,Ref: 1,Ref: 1  Video: 1,Assist: 1,,Ref: 1
Elbakry,Mahmoud,4/22/2022,DV1WS,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Video: 1,Video: 1,,,
Elbakry,Mahmoud,4/22/2022,U16ME,Ref: 1,,,,Ref: 2,,,,,,,,
Elbakry,Mahmoud,4/23/2022,U16WS,Ref: 2,,,,,,,,,,,,
Elbakry,Mahmoud,4/23/2022,U19MS,Ref: 2,,,Ref: 2,Ref: 4,,Ref: 2,Ref: 1,,,,,
Elbakry,Mahmoud,4/24/2022,DV2WS,Ref: 2,,,,Ref: 4,,Ref: 5,Ref: 2,Ref: 1,,Video: 2,,Video: 1
Elbakry,Mahmoud,7/7/2022,D1AWS,Ref: 1,,, , ,, ,Ref: 1,Ref: 1,Ref: 1, , ,Video: 1
Elbakry,Mahmoud,7/8/2022,DV3MS,Ref: 2,,, ,Ref: 4,,Ref: 2,Ref: 1, ,Ref: 1,Video: 1, ,Video: 1
Elbakry,Mahmoud,7/9/2022,DV2MS,Ref: 2,,, , ,, , , , , , , 
Elbakry,Mahmoud,7/10/2022,DV3WS,Ref: 2,,, ,Ref: 2,,Ref: 5,Ref: 2, , ,Video: 1, , 
Elnaggar,Bassel,1/7/2022,DV1MF,Ref: 1,,,Ref: 1,Ref: 2,,,Ref: 1,Ref: 1  Assist: 1,,,,
Elnaggar,Bassel,1/8/2022,U20MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,,,,,
Elnaggar,Bassel,1/9/2022,U20WF,Ref: 1,,,,Ref: 3,,Ref: 2,Ref: 1,Video: 1,,,,
Elnaggar,Bassel,3/4/2022,Y10MF,Ref: 1,,,,,,Ref: 2,Ref: 1,,Video: 1,Video: 1,,Video: 1
Elnaggar,Bassel,3/5/2022,V60MF,Ref: 1,,,,,,,Ref: 2,Ref: 1,Ref: 1  Video: 1,Assist: 1,,Video: 1
Elnaggar,Bassel,7/2/2022,DV1WF,Ref: 1,,, ,Ref: 1,,Ref: 1, , , , , , 
Elnaggar,Bassel,7/4/2022,STMMF, ,,, , ,, ,Ref: 1,Ref: 1,Ref: 1, , ,Ref: 1
Elnaggar,Bassel,7/5/2022,DV1MF,Ref: 1,,, , ,,Ref: 2, ,Video: 1,Video: 1,Ref: 1, , 
Elnaggar,Bassel,7/7/2022,D1AMF,Ref: 1,,, ,Ref: 2,,Ref: 1, ,Ref: 1, , , , 
Elnaggar,Bassel,7/7/2022,DV3WF,Ref: 1,,, ,Ref: 2,,Ref: 1, ,Ref: 1, , , , 
Elnaggar,Bassel,7/8/2022,DV3MF,Ref: 1,,, , ,, , , , , , , 
Elnaggar,Bassel,7/8/2022,Y14WF,Ref: 1,,, ,Ref: 2,,Ref: 1, ,Ref: 1, , , , 
Enache-Mija,Bianca,7/2/2022,U19MS,Ref: 2,,,Ref: 6,Ref: 2,,Ref: 3,Ref: 1,Video: 1,Ref: 1,Video: 1, , 
Enache-Mija,Bianca,7/3/2022,D1AMS,Ref: 1,,, ,Ref: 1,,Ref: 2,Ref: 1, , , , , 
Enache-Mija,Bianca,7/3/2022,U19WS,Ref: 2,,,Ref: 1,Ref: 4,,Ref: 2,Ref: 1, , , , , 
Enache-Mija,Bianca,7/4/2022,DV1MS,Ref: 2,,, ,Ref: 2,,Ref: 1,Ref: 1, , , , , 
Enache-Mija,Bianca,7/5/2022,D1AWF,Ref: 1,,, , ,,Ref: 1,Ref: 1,Ref: 1, , , , 
Enache-Mija,Bianca,7/5/2022,DV1MF,Ref: 1,,, , ,, , , , , , , 
Enache-Mija,Bianca,7/5/2022,V40MS, ,,, , ,, , , , , , ,Video: 1
Enache-Mija,Bianca,7/5/2022,V70MS, ,,, , ,, , ,Ref: 2,Video: 2,Video: 1, ,Video: 1
Enache-Mija,Bianca,7/6/2022,U16MF,Ref: 1,,,Ref: 1, ,, , , , , , , 
Enache-Mija,Bianca,7/6/2022,U16WF, ,,, ,Ref: 3,,Ref: 1,Ref: 1, , , , , 
Enache-Mija,Bianca,7/6/2022,V50WF,Ref: 1,,, , ,, , , , , , , 
Enache-Mija,Bianca,7/6/2022,V70WF, ,,, , ,, , , ,Ref: 1  Video: 1,Video: 1, ,Ref: 1
Enache-Mija,Bianca,7/7/2022,D1AMF,Ref: 1,,, ,Ref: 1,,Ref: 2,Ref: 2, , , , , 
Enache-Mija,Bianca,7/7/2022,DV3WF,Ref: 1,,, ,Ref: 2,,Ref: 2,Ref: 1,Ref: 1, , , , 
Enache-Mija,Bianca,7/8/2022,DV3MF,Ref: 1,,, , ,, , , , , , , 
Escueta,Tony,7/5/2022,U16MS,Ref: 2,,,Ref: 2,Ref: 2,,Ref: 3,Ref: 1, , , , , 
Escueta,Tony,7/5/2022,V40MS,Ref: 1,,, , ,, , ,Ref: 1,Ref: 2,Ref: 1, ,Ref: 1
Escueta,Tony,7/5/2022,V80MS,Ref: 1,,, , ,, , , , , , ,Ref: 1
Fadel,Abbas,10/29/2021,Y14ME,Ref: 1,,,,Ref: 1,,,,,,,,
Fadel,Abbas,10/30/2021,U17ME,Ref: 1,,,Ref: 2,Ref: 3,,Ref: 2,Ref: 1,,,,,
Fadel,Abbas,10/31/2021,DV1MF,Ref: 1,,,,,,,,,,,,
Fadel,Abbas,10/31/2021,U17WE,Ref: 2,,,,Ref: 2,,Ref: 2,,Ref: 1,,,,
Fadel,Abbas,11/1/2021,DV1ME,Ref: 1,Ref: 1,,,,,,,,,,,
Fadel,Abbas,12/9/2021,U17ME,Ref: 1,,,Ref: 1,Ref: 2,,,Ref: 1,,,,,
Fadel,Abbas,12/9/2021,U17WE,Ref: 1,,,,Ref: 1,,Ref: 2,,Video: 1,,,,
Fadel,Abbas,12/10/2021,U20ME,Ref: 1,,,,,,,,,,,,
Fadel,Abbas,12/11/2021,U20MF,Ref: 1,,,Ref: 3,Ref: 2,,,,,,,,
Fadel,Abbas,12/11/2021,U20WE,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 2,,,,,,
Fadel,Abbas,12/12/2021,DV1ME,Ref: 1,,,,Ref: 2,,,,,,,,
Fadel,Abbas,1/7/2022,DV1MF,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,,,,,,
Fadel,Abbas,1/8/2022,U20ME,Ref: 1,,,Ref: 2,,,,,,,,,
Fadel,Abbas,1/9/2022,DV1ME,Ref: 1,Ref: 1,,,Ref: 3,,Ref: 2,,Video: 1,,,,
Fadel,Abbas,1/10/2022,U20WE,Ref: 1,,,,,,,,,,,,
Findlay,Douglas,7/8/2022,DV3MF,Ref: 1,,, , ,, , , , , , , 
Fischl,Andrew,10/30/2021,DV1MS,Ref: 1,,,,Ref: 4,,Ref: 2,Ref: 1,Ref: 1,Assist: 1,Video: 1,,
Fischl,Andrew,10/31/2021,DV1WS,Ref: 1,,,,Ref: 2,,,Ref: 1,Video: 1,Ref: 1,,,
Fischl,Andrew,12/9/2021,DV1MF,,,,,Ref: 1,,,,,,,,
Fischl,Andrew,12/9/2021,DV1WS,Ref: 2,,,,Ref: 2,,Ref: 2,Ref: 2,Ref: 1  Video: 1,Video: 1,,,
Fischl,Andrew,12/12/2021,DV1MS,Ref: 2,,,,Ref: 2,,Ref: 2,Ref: 1,Video: 1  Assist: 1,,Ref: 1,,
Fischl,Andrew,12/12/2021,U17WS,,,,,Ref: 2,,,,,,,,
Fischl,Andrew,1/7/2022,DV1MS,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,Video: 1,,,,
Fischl,Andrew,1/7/2022,DV1WS,Ref: 2,,,,Ref: 3,,Ref: 2,Ref: 2,Video: 1  Assist: 1,Ref: 1,,,
Fischl,Andrew,1/8/2022,DV1WE,Ref: 1,,,,,,,,,,,,
Fischl,Andrew,1/8/2022,V40MS,Ref: 1,,,,,,,,,Ref: 1  Video: 1,Video: 1,,Ref: 1
Fischl,Andrew,1/8/2022,V70MS,,,,,,,,,,,Assist: 1,,
Fischl,Andrew,1/9/2022,U20WS,Ref: 2,,,,Ref: 3,,Ref: 1,Ref: 1,,Ref: 1,Assist: 1,,Ref: 1
Fischl,Andrew,1/10/2022,V40WS,,,,,,,,,,Video: 1,Video: 1,,
Fischl,Andrew,1/10/2022,V50WS,,,,,,,,,Ref: 1,Video: 1,,,
Fischl,Andrew,1/10/2022,V60WS,,,,,,,,,,Assist: 1,,,
Fischl,Andrew,1/10/2022,V80ME,,,,,,,,,,,Assist: 1,,
Fischl,Andrew,2/19/2022,JTMMS,,,,,,,,,Ref: 1,Ref: 1,,,Ref: 1
Fischl,Andrew,2/19/2022,U20WS,Ref: 2,,,Ref: 1,Ref: 2,,Ref: 2,Ref: 1,Video: 2,Ref: 1,Ref: 1,,
Fischl,Andrew,2/21/2022,U17WE,,,,,,,,,Assist: 1,,,,
Fischl,Andrew,2/21/2022,U17WS,Ref: 2,,,,Ref: 5,,Ref: 3,Ref: 1,Video: 2,Video: 1,Video: 1,,
Fischl,Andrew,4/21/2022,DV1MS,Ref: 2,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,,,,
Fischl,Andrew,4/21/2022,U19WS,Ref: 2,,,,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,
Fischl,Andrew,4/22/2022,DV1WS,Ref: 1,,,,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,,Ref: 1,,
Fischl,Andrew,4/22/2022,U16MS,Ref: 2,,,,Ref: 2,,Ref: 1,Ref: 1,,,,,
Fischl,Andrew,4/23/2022,U16WS,Ref: 2,,,,Ref: 1,,Ref: 3,Ref: 1,,Ref: 1,,,
Fischl,Andrew,4/24/2022,DV2WS,Ref: 1,,,,Ref: 4,,Ref: 4,Ref: 2,Ref: 1,Ref: 1,,,
Fischl,Andrew,7/2/2022,U19MS,Ref: 2,,, , ,, ,Ref: 1,Video: 1,Ref: 1,Ref: 1, , 
Fischl,Andrew,7/3/2022,D1AMS,Ref: 1,,, ,Ref: 1,,Ref: 2,Ref: 1,Ref: 1, ,Video: 1, , 
Fischl,Andrew,7/3/2022,U19WS,Ref: 2,,,Ref: 1,Ref: 4,,Ref: 2,Ref: 1,Video: 1, , , , 
Fischl,Andrew,7/4/2022,DV1MS,Ref: 1,,, ,Ref: 2,,Ref: 1,Ref: 1, , ,Ref: 1, , 
Fischl,Andrew,7/4/2022,STMWS, ,,, , ,, , ,Ref: 1, ,Ref: 1, ,Ref: 1
Fischl,Andrew,7/5/2022,U16MS,Ref: 2,,,Ref: 2,Ref: 2,,Ref: 2,Ref: 1,Video: 1, , , , 
Fischl,Andrew,7/5/2022,V50MS,Ref: 1,,, , ,, ,Ref: 3,Ref: 2,Video: 1,Video: 1, ,Video: 1
Fischl,Andrew,7/5/2022,V80MS, ,,, , ,, , , , ,Video: 1, ,Video: 1
Fischl,Andrew,7/6/2022,STMMS, ,,, , ,, ,Ref: 1,Ref: 1,Ref: 1,Ref: 1, ,Ref: 1
Fischl,Andrew,7/6/2022,U16MF,Ref: 1,,, , ,, , , , , , , 
Foster,Andrew,10/30/2021,DV1WF,,,,,,,,,Video: 1,,,,
Foster,Andrew,10/31/2021,DV1MF,Ref: 1,,,,,,,,,,,,
Foster,Andrew,12/10/2021,U20ME,Ref: 1,,,,,,,,,,,,
Foster,Andrew,12/11/2021,U20MF,,,,,,,,,Video: 1,Video: 1,Video: 1,,
Foster,Andrew,2/18/2022,U20WF,,,,,Ref: 3,,,Ref: 1,Video: 1,,,,
Foster,Andrew,2/20/2022,U17WF,,,,,,,,,Video: 1,,,,
Foster,Andrew,2/21/2022,U17WE,,,,,,,,,Assist: 1,,,,
Foster,Andrew,7/4/2022,U19WF,Ref: 1,,, ,Ref: 2,, ,Ref: 1,Video: 1,Video: 1, , , 
Foster,Andrew,7/5/2022,DV1MF,Ref: 1,,, , ,, , ,Video: 1,Ref: 1,Video: 1, , 
Foster,Andrew,7/7/2022,D1AMF,Ref: 2,,, , ,, , , , ,Video: 1, , 
Foster,Andrew,7/7/2022,DV3WF,Ref: 1,,, ,Ref: 1,,Ref: 1, , , ,Video: 1, , 
Fox,Audra,2/18/2022,U17ME,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,,,,,,
Fox,Audra,2/18/2022,U20WF,Ref: 1,,,,Ref: 3,,Ref: 1,,Ref: 1,,,,
Fox,Audra,2/19/2022,JTMWF,,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,
Fox,Audra,2/19/2022,U17MF,Ref: 1,,,Ref: 2,Ref: 2,,,Ref: 1,,,,,
Fox,Audra,2/20/2022,U17WF,Ref: 1,,,,Ref: 3,,Ref: 2,Ref: 1,,Ref: 1,,,
Fox,Audra,2/20/2022,U20ME,,,,Ref: 2,,,,,,,,,
Fox,Audra,2/21/2022,U20MF,Ref: 2,,,Ref: 4,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,,,,
Fox,Audra,3/4/2022,V60WE,,,,,,,,,,,,,Video: 1
Fox,Audra,3/4/2022,Y14ME,,,,,Ref: 2,,Ref: 1,,,,,,
Fox,Audra,3/4/2022,Y14WF,Ref: 1,,,,Ref: 2,,Ref: 1,,Ref: 1,,Ref: 1,,
Fox,Audra,3/5/2022,V70MF,Ref: 1,,,,,,,,Ref: 1,Ref: 1  Video: 1,Ref: 1,,Assist: 1
Fox,Audra,3/5/2022,Y12WF,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,,,,,
Fox,Audra,3/6/2022,Y10WF,Ref: 1,,,,,,Ref: 2,Ref: 1,Ref: 1,Video: 1,,,
Fox,Audra,3/6/2022,Y12MF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,,Assist: 1,Ref: 1,,
Fox,Audra,3/7/2022,Y14MF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 2,,,Assist: 1,Ref: 1,,
Fox,Audra,4/21/2022,U19ME,,,,Ref: 2,Ref: 1,,Ref: 2,Ref: 1,,,,,
Fox,Audra,4/21/2022,U19MF,Ref: 1,,,Ref: 2,Ref: 3,,Ref: 2,Ref: 1,,Ref: 1,,,
Fox,Audra,4/22/2022,DV1MF,Ref: 1,,,,Ref: 1,,Ref: 2,,,,,,
Fox,Audra,4/22/2022,DV1WF,Ref: 1,,,,,,Ref: 1,Ref: 1,,,,,
Fox,Audra,4/23/2022,U16MF,Ref: 1,,,,Ref: 2,,Ref: 2,,Ref: 1,,,,
Fox,Audra,4/23/2022,U19WF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,,,,,
Fox,Audra,4/24/2022,U16WF,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Fox,Audra,4/24/2022,U19WE,Ref: 1,,,,,,,,,,,,
Frye,Mary,10/29/2021,DV1WE,Ref: 1,,,,,,,,Video: 1,Assist: 1,,,Video: 1
Frye,Mary,10/29/2021,Y14ME,Ref: 1,,,,,,,,,,,,
Frye,Mary,10/30/2021,U17ME,Ref: 1,,,,,,,Ref: 1,Video: 1,Video: 1,Video: 1,,Video: 1
Frye,Mary,10/31/2021,U17WE,Ref: 1,,,,Ref: 4,,Ref: 1,Ref: 1,,,,,
Frye,Mary,11/1/2021,DV1ME,Ref: 1,Ref: 1,,,,Ref: 2,,Ref: 1,Video: 1,Ref: 1,Video: 1,,Video: 1
Frye,Mary,12/10/2021,U20ME,Ref: 1,,,,,,,Ref: 1,Video: 2,Ref: 1,Video: 1,,Ref: 1
Frye,Mary,12/11/2021,U20WE,Ref: 1,,,,,,,Ref: 1,Video: 2,Video: 1,,,Video: 1
Frye,Mary,12/12/2021,DV1ME,Ref: 1,Ref: 1,,,,,,,Video: 1,Video: 1,Ref: 1,,
Frye,Mary,3/4/2022,V50WE,Ref: 1,,,,,,,Ref: 3,Ref: 3,,Video: 1,,Assist: 1
Frye,Mary,3/4/2022,V70WE,,,,,,,,,Ref: 1,Ref: 1  Assist: 1,Video: 1,,
Frye,Mary,3/4/2022,Y14ME,Ref: 1,,,,,,,,Ref: 1,,,,
Frye,Mary,3/5/2022,VETWE,Ref: 1,,,,,,Ref: 2,,,,Video: 1,,Video: 1
Frye,Mary,3/5/2022,Y12ME,Ref: 1,,,,,,,,,,,,
Frye,Mary,3/6/2022,V40ME,Ref: 1,,,,,,,,Ref: 2,Video: 1,Assist: 1,,
Frye,Mary,3/6/2022,Y10WE,Ref: 1,,,,,,,,,,,,
Frye,Mary,3/7/2022,VETME,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,,,,,
Frye,Mary,3/7/2022,Y10ME,Ref: 1,,,,,,Ref: 2,,Ref: 1,,,,
Frye,Mary,4/22/2022,U16ME,Ref: 1,,,,,,,Ref: 1,Video: 1,Video: 1,,,
Frye,Mary,4/22/2022,U16WE,,,,,Ref: 1,,,Ref: 1,Video: 1,,Ref: 1,,
Frye,Mary,4/23/2022,DV1WE,Ref: 1,,,,,,,Ref: 1,Video: 1,,,,Ref: 1
Frye,Mary,4/24/2022,DV1ME,Ref: 1,,,,Ref: 2,,Ref: 1,,Video: 2,Ref: 1,,,
Gamaleldin,Hanan,7/2/2022,DV1ME,Ref: 1,,, , ,, , ,Video: 1,Video: 1,Video: 1, ,Ref: 1
Gamaleldin,Hanan,7/3/2022,U19WE,Ref: 1,,, , ,, , ,Video: 1, , , , 
Gamaleldin,Hanan,7/4/2022,DV1WE,Ref: 1,,, , ,, ,Ref: 1, ,Video: 1,Video: 1, , 
Gamaleldin,Hanan,7/4/2022,U19ME,Ref: 1,,, , ,, , ,Video: 1,Video: 1, , , 
Gamaleldin,Hanan,7/5/2022,D1AME,Ref: 1,,, , ,, ,Ref: 1, , ,Video: 1, , 
Gamaleldin,Hanan,7/6/2022,U16ME,Ref: 1,,, , ,, , , , , , , 
Gamaleldin,Hanan,7/6/2022,VTMWE, ,,, , ,, , ,Ref: 1,Ref: 1,Ref: 1,Ref: 1, 
Gamaleldin,Hanan,7/7/2022,DV2ME,Ref: 1,,, , ,, , , , , , ,Video: 1
Gamaleldin,Hanan,7/7/2022,Y14WE, ,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1, ,Video: 1,Video: 1, ,Video: 1
Gamaleldin,Hanan,7/8/2022,Y14ME,Ref: 1,,,Ref: 1, ,, , , , , , , 
Geller,Adam,2/18/2022,U17ME,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 2,,,,,,
Geller,Adam,2/18/2022,U20WF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,Ref: 1,,,,
Geller,Adam,2/19/2022,U17MF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,Ref: 1,,,,,
Geller,Adam,2/19/2022,U20WE,Ref: 1,,,Ref: 1,Ref: 3,,Ref: 1,Ref: 1,,,,,
Geller,Adam,2/20/2022,JTMMF,,,,,,,,Ref: 1,Ref: 2,,,,
Geller,Adam,2/20/2022,U20ME,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 1,Ref: 1,,,,,
Geller,Adam,2/21/2022,U20MF,Ref: 2,,,,Ref: 1,,,,Assist: 1,Ref: 1,,,
Geller,Adam,4/21/2022,U19ME,,,,Ref: 2,Ref: 1,,Ref: 1,,,,,,
Geller,Adam,4/21/2022,U19MF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 3,,Ref: 1,,,,
Geller,Adam,4/22/2022,DV1MF,Ref: 1,,,,Ref: 3,,Ref: 1,,,,,,
Geller,Adam,4/22/2022,DV1WF,Ref: 1,,,,,,Ref: 2,,,,,,
